video_name,year,duration_sec,download_link
1_2024-07-30 14:03:58.0090_none.mp4,2024,0.7333333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:03:58.0090_none.mp4
2_2024-07-31 12:57:17.6120_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/2_2024-07-31 12:57:17.6120_none.mp4
0_2024-07-30 14:41:02.2590_none.mp4,2024,53.23333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:41:02.2590_none.mp4
0_2024-07-30 14:10:17.6020_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:10:17.6020_none.mp4
3_2024-07-30 13:32:16.8560_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/3_2024-07-30 13:32:16.8560_none.mp4
0_2024-07-30 14:38:18.5110_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:38:18.5110_none.mp4
3_2024-07-31 11:24:10.4140_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/3_2024-07-31 11:24:10.4140_none.mp4
1_2024-07-31 12:47:57.9700_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-31 12:47:57.9700_none.mp4
0_2024-07-30 14:55:45.8840_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:55:45.8840_none.mp4
6_2024-07-30 14:14:37.7750_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/6_2024-07-30 14:14:37.7750_none.mp4
3_2024-07-30 13:44:48.1470_none.mp4,2024,59.86666666666667,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/3_2024-07-30 13:44:48.1470_none.mp4
1_2024-07-30 14:35:28.5930_none.mp4,2024,2.3,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:35:28.5930_none.mp4
3_2024-07-30 13:58:08.8070_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/3_2024-07-30 13:58:08.8070_none.mp4
1_2024-07-30 14:53:07.6920_none.mp4,2024,1.9,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:53:07.6920_none.mp4
10_2024-07-30 14:14:37.7750_none.mp4,2024,7.4,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/10_2024-07-30 14:14:37.7750_none.mp4
0_2024-07-30 10:46:47.8510_none.mp4,2024,4.0,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 10:46:47.8510_none.mp4
0_2024-07-30 14:14:37.7750_none.mp4,2024,59.766666666666666,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:14:37.7750_none.mp4
0_2024-07-30 14:08:33.7930_none.mp4,2024,29.4,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:08:33.7930_none.mp4
1_2024-07-30 14:47:35.7360_none.mp4,2024,7.833333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:47:35.7360_none.mp4
8_2024-07-30 13:32:16.8560_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/8_2024-07-30 13:32:16.8560_none.mp4
0_2024-07-30 14:17:54.0820_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:17:54.0820_none.mp4
1_2024-07-30 13:56:02.5940_none.mp4,2024,1.5333333333333334,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 13:56:02.5940_none.mp4
5_2024-07-30 13:44:48.1470_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/5_2024-07-30 13:44:48.1470_none.mp4
1_2024-07-30 14:36:54.8340_none.mp4,2024,1.4,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/1_2024-07-30 14:36:54.8340_none.mp4
5_2024-07-30 13:58:08.8070_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/5_2024-07-30 13:58:08.8070_none.mp4
0_2024-07-30 14:05:46.1620_none.mp4,2024,60.03333333333333,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 14:05:46.1620_none.mp4
0_2024-07-30 13:41:30.8460_none.mp4,2024,51.6,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-07-30 13:41:30.8460_none.mp4
4_2024-07-31 12:57:17.6120_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/4_2024-07-31 12:57:17.6120_none.mp4
8_2024-07-30 13:58:08.8070_none.mp4,2024,59.86666666666667,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/8_2024-07-30 13:58:08.8070_none.mp4
8_2024-07-30 13:44:48.1470_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/8_2024-07-30 13:44:48.1470_none.mp4
5_2024-07-31 11:24:10.4140_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/5_2024-07-31 11:24:10.4140_none.mp4
2_2024-07-31 12:32:29.8210_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/2_2024-07-31 12:32:29.8210_none.mp4
5_2024-07-30 13:32:16.8560_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/5_2024-07-30 13:32:16.8560_none.mp4
0_2024-08-14_14-09-58.8220_none.mp4,2024,59.8,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/0_2024-08-14_14-09-58.8220_none.mp4
6_2024-07-31 12:05:51.3060_none.mp4,2024,59.833333333333336,https://storage.googleapis.com/labelbox-sidewalk-testbed-2024/6_2024-07-31 12:05:51.3060_none.mp4
