file_name,year,duration_sec,cane_tip,wether,location,download_link
0_2025-01-24_11-57-48.6250_none.mp4,2025,32.833333333333336,,,,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/0_2025-01-24_11-57-48.6250_none.mp4
2025-07-16_13-55-29-947_Roller_Ball_Clear_BMCC_16.mp4,2025,10.533333333333333,Roller_Ball,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-16_13-55-29-947_Roller_Ball_Clear_BMCC_16.mp4
2025-07-10_14-42-31-349_Roller_Marshmallow_Clear_BMCC_15.mp4,2025,7.4,Roller_Marshmallow,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-10_14-42-31-349_Roller_Marshmallow_Clear_BMCC_15.mp4
2025-07-10_13-46-45-554_Metal_Clear_Unset_40.mp4,2025,231.6,Metal,Clear,Unset,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-10_13-46-45-554_Metal_Clear_Unset_40.mp4
2025-07-14_14-56-17-060_Ceramic_Clear_BMCC_22.mp4,2025,80.46666666666667,Ceramic,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-14_14-56-17-060_Ceramic_Clear_BMCC_22.mp4
2025-07-14_14-39-26-929_Roller_Ball_Clear_BMCC_8.mp4,2025,4.333333333333333,Roller_Ball,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-14_14-39-26-929_Roller_Ball_Clear_BMCC_8.mp4
2025-07-15_13-40-59-837_Ceramic_Clear_BMCC_24.mp4,2025,19.4,Ceramic,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-15_13-40-59-837_Ceramic_Clear_BMCC_24.mp4
2025-07-14_14-57-58-673_Ceramic_Clear_BMCC_22.mp4,2025,43.2,Ceramic,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-14_14-57-58-673_Ceramic_Clear_BMCC_22.mp4
2025-07-14_15-04-57-632_Metal_Clear_BMCC_45.mp4,2025,102.33333333333333,Metal,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-14_15-04-57-632_Metal_Clear_BMCC_45.mp4
2025-07-15_14-05-09-037_Roller_Ball_Clear_BMCC_9.mp4,2025,30.0,Roller_Ball,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-15_14-05-09-037_Roller_Ball_Clear_BMCC_9.mp4
2025-07-15_14-03-49-979_Ceramic_Clear_BMCC_22.mp4,2025,0.9333333333333333,Ceramic,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-15_14-03-49-979_Ceramic_Clear_BMCC_22.mp4
2025-07-15_14-48-40-169_Marshmallow_Clear_BMCC_11.mp4,2025,217.73333333333332,Marshmallow,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-15_14-48-40-169_Marshmallow_Clear_BMCC_11.mp4
2025-07-14_15-11-49-942_Metal_Clear_BMCC_45.mp4,2025,141.6,Metal,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-14_15-11-49-942_Metal_Clear_BMCC_45.mp4
2025-07-15_14-07-50-682_Ceramic_Clear_BMCC_21.mp4,2025,92.73333333333333,Ceramic,Clear,BMCC,https://storage.googleapis.com/labelbox-sidewalk-testbed-2025/2025-07-15_14-07-50-682_Ceramic_Clear_BMCC_21.mp4
